iter	RMSE
0	0.4117510349
1	0.4012953991
2	0.3904331582
3	0.3797336611
4	0.3693984643
5	0.3607407588
6	0.3520675163
7	0.3447699892
8	0.3378555723
9	0.3303579478
10	0.3232372308
11	0.3173720641
12	0.3109624782
13	0.3055198149
14	0.2998666462
15	0.2942762902
16	0.2901661243
17	0.2857928243
18	0.282076623
19	0.2779197753
20	0.2737622214
21	0.2697492951
22	0.2662187499
23	0.2632330884
24	0.2603383489
25	0.2578919462
26	0.2550260279
27	0.2524902049
28	0.250556758
29	0.2482394696
30	0.2466008012
31	0.2445206353
32	0.2425891461
33	0.2407243509
34	0.2389402205
35	0.2369975748
36	0.235547549
37	0.2342748717
38	0.2322665055
39	0.2305896902
40	0.2286272545
41	0.2278282653
42	0.2265383159
43	0.2254640161
44	0.2243278579
45	0.2229687446
46	0.2219805509
47	0.2208484793
48	0.2196227044
49	0.2188281998
50	0.2178423433
51	0.2167222444
52	0.216084635
53	0.2155032894
54	0.214720443
55	0.2137625171
56	0.2130940206
57	0.212447101
58	0.2117580701
59	0.2109408338
60	0.2103501533
61	0.2097357399
62	0.2092691171
63	0.2087287507
64	0.2083968976
65	0.2078817678
66	0.207240207
67	0.2068620617
68	0.20651904
69	0.2058825672
70	0.205407869
71	0.2050252226
72	0.2044684177
73	0.2039355052
74	0.2036472354
75	0.2032095198
76	0.2028708576
77	0.2023914567
78	0.2020463969
79	0.2017231989
80	0.2015339846
81	0.2011871351
82	0.2007326297
83	0.2004655327
84	0.2002777593
85	0.2000064465
86	0.1998499214
87	0.1994479953
88	0.1990878035
89	0.1988042695
90	0.1986315438
91	0.198369784
92	0.1981648093
93	0.1979482601
94	0.1977242249
95	0.1975953728
96	0.1974329017
97	0.1972214209
98	0.1968954436
99	0.1968386899
100	0.1968108584
101	0.1966118648
102	0.1962841443
103	0.1961215969
104	0.195900923
105	0.1956991279
106	0.1956184421
107	0.1954492151
108	0.195158492
109	0.194948937
110	0.1947153235
111	0.1944325941
112	0.1941559254
113	0.1940042515
114	0.1938693505
115	0.1936382695
116	0.1934885356
117	0.1932733687
118	0.1932486916
119	0.1930566781
120	0.1929558734
121	0.192795933
122	0.192734895
123	0.1926412215
124	0.1926073585
125	0.1924212886
126	0.1921516923
127	0.1919571508
128	0.1918821634
129	0.1917497058
130	0.191675517
131	0.1916029458
132	0.1914134962
133	0.1913208511
134	0.1911989054
135	0.1911096903
136	0.1910369795
137	0.1908719503
138	0.190656033
139	0.1905855935
140	0.1905371549
141	0.1904664037
142	0.190446241
143	0.1904271872
144	0.1903605452
145	0.1903402529
146	0.1902454601
147	0.1902240015
148	0.1900564707
149	0.1900082234
150	0.1898492835
151	0.1897861282
152	0.1897243372
153	0.1897019088
154	0.189684643
155	0.1896390579
156	0.1895621225
157	0.1895035754
158	0.1894834357
159	0.1894220526
160	0.1893658842
161	0.1893080788
162	0.1892521368
163	0.1891956258
164	0.189143251
165	0.1890114123
166	0.1888611721
167	0.1887454125
168	0.1887081004
169	0.1886591489
170	0.188611873
171	0.1885538721
172	0.1885096211
173	0.1884674141
174	0.1883905507
175	0.1883574389
176	0.1883173255
177	0.1882807333
178	0.1882487063
179	0.1882318401
180	0.1882143792
181	0.1881790426
182	0.1880688176
183	0.1880520462
184	0.1880298197
185	0.1879957026
186	0.1879622694
187	0.187780655
188	0.1876457125
189	0.1876305194
190	0.1876146777
191	0.1875484736
192	0.1875329055
193	0.1873609469
194	0.1873147753
195	0.1871923184
196	0.1871773751
197	0.1871395168
198	0.1871254185
199	0.1870685961
200	0.1870548442
201	0.1868720257
202	0.1867781248
203	0.1867487783
204	0.1867302377
205	0.1866399099
206	0.1866259562
207	0.1866131917
208	0.1864367266
209	0.1864187187
210	0.1863796977
211	0.1861730684
212	0.1861597044
213	0.1861474829
214	0.1860433457
215	0.1859576495
216	0.1857021696
217	0.1856760289
218	0.18566433
219	0.1856388394
220	0.1856268099
221	0.1856150977
222	0.185603884
223	0.1855928056
224	0.1855097134
225	0.1854193556
226	0.1853192936
227	0.1851476046
228	0.1851368668
229	0.1849741203
230	0.1849630658
231	0.1848227689
232	0.1848123946
233	0.1848021443
234	0.1847920156
235	0.184781505
236	0.1847404235
237	0.1846551145
238	0.1844475264
239	0.1844377592
240	0.1844275644
241	0.1844174855
242	0.1843420171
243	0.1842102773
244	0.184200975
245	0.1839413664
246	0.1839320813
247	0.1837977143
248	0.1837658837
249	0.1837568274
250	0.1837260777
251	0.1836961554
252	0.1836665944
253	0.1836577939
254	0.1836291982
255	0.1836014752
256	0.1835268787
257	0.1833585116
258	0.1832637046
259	0.1832548635
260	0.1832303401
261	0.1832220725
262	0.1830748551
263	0.1829580077
264	0.1829498717
265	0.1829413341
266	0.182741775
267	0.1827338907
268	0.1826139415
269	0.1826056783
270	0.1825686548
271	0.1825604864
272	0.1824700223
273	0.1824624223
274	0.1824549084
275	0.1823908441
276	0.18237647
277	0.1823020995
278	0.1822731281
279	0.1821203886
280	0.182113147
281	0.1821059889
282	0.1819233118
283	0.1817663318
284	0.1817588245
285	0.1817408286
286	0.1816206126
287	0.181485412
288	0.1813846401
289	0.1813672582
290	0.1813427835
291	0.1812173723
292	0.1812100098
293	0.1811778003
294	0.1811610461
295	0.1809412886
296	0.1807869192
297	0.180780392
298	0.1807277022
299	0.1806776103
300	0.1804936543
301	0.1803697429
302	0.1803348536
303	0.180219726
304	0.1802134805
305	0.1802073032
306	0.1800270127
307	0.1800202396
308	0.1799980536
309	0.1798495024
310	0.1798436024
311	0.1798376143
312	0.1798160279
313	0.17976566
314	0.1796116454
315	0.1796058012
316	0.1794118976
317	0.1794055905
318	0.1793999215
319	0.1793792358
320	0.1793579168
321	0.1793381273
322	0.1793200992
323	0.1792809753
324	0.1791243265
325	0.179106644
326	0.1790918025
327	0.1790863496
328	0.1789193603
329	0.1787637932
330	0.1787575074
331	0.178729218
332	0.1787017197
333	0.178683768
334	0.1785580035
335	0.1785528501
336	0.1785340702
337	0.178520941
338	0.1785026221
339	0.1784084721
340	0.1784034824
341	0.1782971518
342	0.1782922131
343	0.1781493597
344	0.1780087097
345	0.177990064
346	0.17798464
347	0.1779641083
348	0.1779406689
349	0.1779363209
350	0.1778590463
351	0.1777846089
352	0.1777212918
353	0.177651093
354	0.1775824716
355	0.1775779236
356	0.1775479739
357	0.1775315377
358	0.177412097
359	0.1772394122
360	0.1770991961
361	0.177094741
362	0.1769855436
363	0.1769811622
364	0.1768810498
365	0.1768770191
366	0.1767444717
367	0.1766817274
368	0.1765562749
369	0.1765061622
370	0.1764947825
371	0.17647926
372	0.1764638764
373	0.1763219243
374	0.176242709
375	0.1761926013
376	0.1761778905
377	0.1760632741
378	0.1759633167
379	0.175887016
380	0.1757968118
381	0.1757928472
382	0.1757830102
383	0.1757537293
