iter	Passed	Remaining
0	0	624
1	1	615
2	1	620
3	2	612
4	3	605
5	3	585
6	4	577
7	4	569
8	5	566
9	5	560
10	6	554
11	6	554
12	7	552
13	7	549
14	8	546
15	8	545
16	9	543
17	9	544
18	10	545
19	11	542
20	11	539
21	12	536
22	12	533
23	13	531
24	13	531
25	14	531
26	14	530
27	15	530
28	15	527
29	16	527
30	16	527
31	17	528
32	18	527
33	18	526
34	19	525
35	19	526
36	20	524
37	20	523
38	21	521
39	21	520
40	22	520
41	22	521
42	23	521
43	23	520
44	24	521
45	25	522
46	25	521
47	26	521
48	26	523
49	27	522
50	27	520
51	28	519
52	29	518
53	29	518
54	30	517
55	30	516
56	31	515
57	31	516
58	32	514
59	32	514
60	33	513
61	33	512
62	34	511
63	34	510
64	35	510
65	35	509
66	36	509
67	37	509
68	37	510
69	38	509
70	38	509
71	39	508
72	40	508
73	40	507
74	41	506
75	41	506
76	42	505
77	42	504
78	43	503
79	43	503
80	44	502
81	44	501
82	45	501
83	46	501
84	46	500
85	46	499
86	47	498
87	48	498
88	48	497
89	49	497
90	49	496
91	50	495
92	50	494
93	51	494
94	51	493
95	52	492
96	52	491
97	53	490
98	53	490
99	54	490
100	55	489
101	55	488
102	56	488
103	56	487
104	57	487
105	57	486
106	58	485
107	58	485
108	59	484
109	59	483
110	60	482
111	60	482
112	61	482
113	61	481
114	62	480
115	63	480
116	63	479
117	64	480
118	64	480
119	65	480
120	66	480
121	66	479
122	67	479
123	67	479
124	68	479
125	69	478
126	69	478
127	70	478
128	70	478
129	71	478
130	72	477
131	72	477
132	73	477
133	73	477
134	74	476
135	74	475
136	75	475
137	76	475
138	76	474
139	77	473
140	77	472
141	78	472
142	78	471
143	79	470
144	79	470
145	80	469
146	80	468
147	81	467
148	81	466
149	82	466
150	82	466
151	83	465
152	83	464
153	84	463
154	84	463
155	85	462
156	85	461
157	86	461
158	87	460
159	87	460
160	88	459
161	88	458
162	89	458
163	89	457
164	90	456
165	90	456
166	91	455
167	91	455
168	92	454
169	93	454
170	93	453
171	94	453
172	94	453
173	95	452
174	95	452
175	96	451
176	96	450
177	97	450
178	98	449
179	98	449
180	99	448
181	99	448
182	100	447
183	100	447
184	101	446
185	101	445
186	102	445
187	102	444
188	103	443
189	104	443
190	104	442
191	105	442
192	105	441
193	106	441
194	106	440
195	107	440
196	107	439
197	108	438
198	108	438
199	109	437
200	109	437
201	110	436
202	111	435
203	111	435
204	112	434
205	112	433
206	113	433
207	113	432
208	114	432
209	114	431
210	115	431
211	115	430
212	116	429
213	116	429
214	117	428
215	117	428
216	118	427
217	118	426
218	119	426
219	120	426
220	120	425
221	121	425
222	121	424
223	122	424
224	123	423
225	123	423
226	124	422
227	124	421
228	125	421
229	125	420
230	126	419
231	126	419
232	127	418
233	127	417
234	128	417
235	128	416
236	129	415
237	129	415
238	130	414
239	130	414
240	131	413
241	131	413
242	132	412
243	132	411
244	133	411
245	133	410
246	134	409
247	134	409
248	135	408
249	135	407
250	136	407
251	136	406
252	137	405
253	137	405
254	138	404
255	139	404
256	139	403
257	140	402
258	140	402
259	141	401
260	141	401
261	142	400
262	142	399
263	143	399
264	143	398
265	144	398
266	144	397
267	145	397
268	145	396
269	146	395
270	146	395
271	147	394
272	148	394
273	148	393
274	149	393
275	149	392
276	150	391
277	150	391
278	151	390
279	151	389
280	152	389
281	152	388
282	153	388
283	153	387
284	154	386
285	154	386
286	155	385
287	155	384
288	156	384
289	156	383
290	157	382
291	157	382
292	158	381
293	158	381
294	159	380
295	159	380
296	160	379
297	160	379
298	161	378
299	161	377
300	162	377
301	162	376
302	163	375
303	163	375
304	164	374
305	164	374
306	165	373
307	166	373
308	166	372
309	167	371
310	167	371
311	168	370
312	168	370
313	169	369
314	169	369
315	170	368
316	170	367
317	171	367
318	171	366
319	172	365
320	172	365
321	173	365
322	173	364
323	174	363
324	174	363
325	175	362
326	176	362
327	176	361
328	177	361
329	177	360
330	178	359
331	178	359
332	179	358
333	179	357
334	179	357
335	180	356
336	181	356
337	181	355
338	182	355
339	182	354
340	183	353
341	183	353
342	184	352
343	184	351
344	185	351
345	185	350
346	186	350
347	186	349
348	187	349
349	187	349
350	188	348
351	189	348
352	189	347
353	190	346
354	190	346
355	191	345
356	191	345
357	192	344
358	192	343
359	193	343
360	193	342
361	194	342
362	194	341
363	195	341
364	195	340
365	196	339
366	196	339
367	197	338
368	197	338
369	198	337
370	198	337
371	199	336
372	199	336
373	200	335
374	200	334
375	201	334
376	201	333
377	202	333
378	202	332
379	203	332
380	204	331
381	204	330
382	205	330
383	205	329
384	206	329
385	206	328
386	207	328
387	207	327
388	208	327
389	208	326
390	209	326
391	209	325
392	210	324
393	210	324
394	211	323
395	212	323
396	212	322
397	213	322
398	213	321
399	214	321
400	214	320
401	215	319
402	215	319
403	216	318
404	216	318
405	217	317
406	217	317
407	218	316
408	218	316
409	219	315
410	219	315
411	220	314
412	220	313
413	221	313
414	221	312
415	222	312
416	222	311
417	223	310
418	223	310
419	224	309
420	224	309
421	225	308
422	225	308
423	226	307
424	227	307
425	227	306
426	228	306
427	228	305
428	229	305
429	229	304
430	230	304
431	230	303
432	231	302
433	231	302
434	232	301
435	232	301
436	233	300
437	233	299
438	234	299
439	234	298
440	235	298
441	235	297
442	236	297
443	236	296
444	237	296
445	237	295
446	238	294
447	238	294
448	239	293
449	239	293
450	240	292
451	240	292
452	241	291
453	241	290
454	242	290
455	243	290
456	243	289
457	244	288
458	244	288
459	245	287
460	245	287
461	246	286
462	246	286
463	247	285
464	247	285
465	248	284
466	248	284
467	249	283
468	249	283
469	250	282
470	250	281
471	251	281
472	252	280
473	252	280
474	253	279
475	253	279
476	254	278
477	254	278
478	255	277
479	255	276
480	256	276
481	256	275
482	257	275
483	257	274
484	258	274
485	258	273
486	259	273
487	259	272
488	260	271
489	260	271
490	261	270
491	261	270
492	262	269
493	262	269
494	263	268
495	263	268
496	264	267
497	264	267
498	265	266
499	265	265
500	266	265
501	267	264
502	267	264
503	268	263
504	268	263
505	269	262
506	269	262
507	270	261
508	270	261
509	271	260
510	271	259
511	272	259
512	272	259
513	273	258
514	273	257
515	274	257
516	274	256
517	275	256
518	275	255
519	276	255
520	276	254
521	277	254
522	277	253
523	278	252
524	279	252
525	279	251
526	280	251
527	280	250
528	281	250
529	281	249
530	282	249
531	282	248
532	283	248
533	283	247
534	284	247
535	284	246
536	285	246
537	285	245
538	286	244
539	287	244
540	287	243
541	287	243
542	288	242
